Id,Name
4113,Constantine Caramanis
4828,Richard L. Lewis
5506,Ryan Kiros
7331,Kfir Levy
8429,Wei Cao
7525,Hsiao-Yu Tung
7997,Kai Wei
4137,Mark Schmidt
8142,Dimitris Papailiopoulos
6471,Ce Zhang
1431,Ron Meir
7485,Jimmy SJ Ren
7982,Marin Kobilarov
6320,Nikhil Rao
8043,Rahul Kidambi
8249,Tianqi Chen
4548,Mohammad E. Khan
6650,Sebastien Bubeck
5192,Rémi Bardenet
7963,Dominik Rothenhäusler
7950,Luis Pualo Reis
7398,Ross Girshick
8247,Samuel Livingstone
3387,Huan Xu
5348,Quanquan Gu
5542,Pinghua Gong
8195,Dharmendra S. Modha
8160,Ian Kash
6798,Bernt Schiele
7564,koray kavukcuoglu
4783,Jason D. Lee
7190,Tapani Raiko
7919,Gary Holt
6333,Judea Pearl
2559,Thorsten Joachims
8358,Wittawat Jitkrittum
7969,Hanjun Dai
7865,Leon Gatys
7905,Leo Kärkkäinen
4671,Purushottam Kar
7886,Xiaozhi Chen
8205,Chris Fernandez
3964,Volkan Cevher
8423,Masrour Zoghi
1965,John W. Fisher III
8121,Edo Collins
8238,Matthew A. Johnson
7951,Ahmed Hefny
7936,Stéphanie ALLASSONNIERE
7132,Anqi Wu
8117,Ian Reid
8045,Yuxin Chen
2160,E. J. Chichilnisky
8284,Laura Balzano
6804,François Fleuret
8037,Michael Chertkov
8275,Noam Brown
969,Thomas Hofmann
8107,James Lu
8098,Xiang Zhang
7873,Aleksandar Zlateski
6514,Behnam Neyshabur
2336,Tuomas Sandholm
5571,Oriol Vinyals
7916,Zhe Gan
4523,Fuxin Li
3453,John C. Duchi
4684,András György
4931,Martin Slawski
8360,Tian Gao
8015,Ahmed Alaoui
6765,Satinder Singh
6526,Yann Dauphin
8320,Wai-kin Wong
8386,Bo Waggoner
8435,Sorathan Chaturapruek
7896,Jean-Pierre David
8176,Sainbayar Sukhbaatar
7885,Marcus Buckmann
3630,Elad Hazan
8140,peter j. bickel
8384,Aaron Roth
8345,Jianfeng Gao
7651,Martin Jaggi
8355,Stephane Marchand-Maillet
8419,Ibrahim M. Alabdulmohsin
8227,Jimin Song
8334,Djork-Arné Clevert
8277,james m. robins
8278,Guillaume P. Dehaene
8078,Jack Gorham
7891,Yulai Cong
6376,Karen Simonyan
7942,Lennart Svensson
8067,Sixin Zhang
8245,Mathew Monfort
5207,Joseph J. Lim
7477,Yuya Yoshikawa
8295,Joseph Lehec
4867,Christoph H. Lampert
6368,Inderjit S. Dhillon
8371,Radu Marinescu
8167,Gautam C. Kamath
7910,Kyle Kastner
6643,Vitaly Feldman
8422,Suriya Gunasekar
710,Robert E. Schapire
7148,Evangelos Theodorou
8337,Manuel Watter
3894,Garvesh Raskutti
7915,Jascha Sohl-Dickstein
8397,Pekka Parviainen
7954,Farzaneh Mirzazadeh
7971,Hong Wang
8402,Huasen Wu
7432,Tengyu Ma
6639,Daniel Vainsencher
2708,Georgios Theocharous
5305,Moritz Hardt
7427,Andres Munoz
7888,Yukun Zhu
8239,Roland Kwitt
8200,Meire Fortunato
6690,James R. Voss
6461,Jun Zhu
7941,Amir Dezfouli
3599,Charlie Frogner
8210,Gustavo Malkomes
6613,James R. Lloyd
7887,Kaustav Kundu
8258,Dan Alistarh
4452,Ricardo Henao
8024,Avi Wigderson
8287,Guang Cheng
4283,Venkatesh Saligrama
4379,Sanja Fidler
8280,Yang Ning
7934,Dinggang Shen
8170,Jan Vondrak
4596,Surya Ganguli
5067,Guillaume Desjardins
8369,Jimeng Sun
7920,Eugene Davydov
7344,Kai Zhong
8144,Peter Lofgren
8005,Mohamed Osama Ahmed
8041,Zoltan Szabo
7996,Rina Foygel Barber
4568,Hiroshi Nakagawa
7145,Yinlam Chow
8181,Klaus Greff
2091,David Hsu
8406,Tatsunori Hashimoto
5418,Alexander T. Ihler
8407,Saurabh Paul
4613,Wei Wang
8329,Jon McAuliffe
2539,Sanjiv Kumar
8139,Mark Kozdoba
5308,Dhruv Batra
4682,Gergely Neu
8114,Stefan Kiebel
7421,Jacob Andreas
8013,Brian Caffo
1370,Brendan J. Frey
4194,Bertrand Thirion
7955,Jessa Bekker
8052,Adith Swaminathan
8102,Jeff Pool
2458,Antonio Torralba
3559,Percy S. Liang
3011,Lorenzo Rosasco
8004,Reza Harikandeh
7912,Chris Piech
4134,Lei Wang
4356,Sewoong Oh
8266,Fredrik D. Johansson
1020,Zoubin Ghahramani
8030,Xia Qu
2467,Ofer Dekel
8128,Juho Lee
7147,Yunpeng Pan
8194,Rathinakumar Appuswamy
5587,Alex Schwing
350,Samy Bengio
8221,Alexander G. Matthews
2649,Denny Zhou
8082,Laurent U. Perrinet
4348,Timothy T. Rogers
6338,Michael I. Jordan
4085,Edo M. Airoldi
8040,Ehsan Abbasi
4344,Arthur Choi
8272,Colin Sandon
2850,Suvrit Sra
6448,Yasin Abbasi
8032,Cameron Musco
3138,Rebecca Willett
8273,Bhaswar Bhattacharya
8339,Anoop Korattikara Balan
8404,Xin Liu
8111,Marylou Gabrie
6413,Jonathan P. How
8302,Felix Yu
8268,Róbert Busa-Fekete
8365,Dmytro Shlezinger
7908,Georges A. Goetz
8428,Oren Anava
8264,Megasthenis Asteris
3668,David Sontag
1252,Mark Herbster
8091,Fereshteh Sadeghi
8387,Yen-Chi Chen
8042,Bethany Lusch
6834,Christopher R. Genovese
6503,Ziteng Wang
7995,Wooseok Ha
8154,Alp Yurtsever
6418,Zheng Wen
7911,Kratarth Goel
7922,Dietmar Ebner
8185,Po-Hsuan (Cameron) Chen
8232,Quoc Phong Nguyen
8361,Jiaji Huang
7892,Danilo Bzdok
8281,Arya Mazumdar
6612,José Miguel Hernández-Lobato
5197,Philip S. Thomas
8269,Adil Paul
6722,Jesse Davis
7869,Łukasz Kaiser
5523,Nicolas Heess
7189,Marijn F. Stollenga
7948,Rudolf Lioutikov
7902,Vaibhav Srivastava
7317,Kevin Scaman
2797,Tomoharu Iwata
4730,Alexandre Gramfort
1141,Sepp Hochreiter
4241,Peter J. Ramadge
8211,Dennis Barbour
575,Robert C. Williamson
6736,Gregory Valiant
5077,Tomer Koren
1033,Tomás Lozano-Pérez
8010,Raman Sankaran
6301,Roger B. Grosse
8374,Kirill Trapeznikov
6780,Pascal Fua
3394,Vikas Sindhwani
6628,Robert Calderbank
7531,Alaa Saade
4503,Armand Joulin
8267,Ankani Chattoraj
8330,Mr. Prabhat
8022,Min Li
8354,Ke Sun
8352,David Bindel
5656,Francisco Ruiz
3110,Larry Wasserman
3862,Ryan P. Adams
6685,Brenden M. Lake
8174,Dylan J. Foster
758,Yoav Freund
8262,Theophane Weber
8380,Dinesh Ramasamy
4851,Sashank J. Reddi
7476,Shou-De Lin
7938,Minhyung Cho
1946,Ming-Hsuan Yang
7990,Olivier Fercoq
7449,Richard E. Turner
8263,Anuj Mahajan
8155,Quoc Tran Dinh
5686,Tomi Silander
8382,Cynthia Dwork
7972,Wei Xing
8300,Aditya Menon
2813,Harri Valpola
3336,Wenye Li
8290,Shan-Wei Lin
7957,Miguel Lázaro-Gredilla
8173,Alexandre Bayen
3388,Carsten Rother
8123,Gregory Wayne
8231,Ted Meeds
8244,Elaine Angelino
1926,Kevin P. Murphy
8135,Amar Shah
8235,Cengiz Pehlevan
8276,Kirthevasan Kandasamy
8381,Upamanyu Madhow
8274,Sriram Vishwanath
7152,Ananda Theertha Suresh
8265,Anastasios Kyrillidis
8433,Julien Audiffren
8416,Huishuai Zhang
5364,Stephen Pasteris
6409,Jinwoo Shin
2133,Christopher D. Manning
8324,Chongxuan Li
3916,Phil Blunsom
7253,Julie A. Shah
1523,Yair Weiss
8363,TIAN TIAN
3569,Jian Li
8310,Michael F. Mathieu
6691,Luis Rademacher
5303,Arindam Banerjee
3539,Leonidas J. Guibas
8375,Michail Kontitsis
2459,Amos J. Storkey
5059,Akshay Krishnamurthy
8390,Wenlin Chen
7926,Dan Dennison
7335,Michal Valko
8393,Weiwei Liu
8134,Marco Zaffalon
2581,Andrew Zisserman
2678,Vladimir Vovk
4023,Katherine A. Heller
3841,Bo Zhang
4917,David K. Duvenaud
8364,Alexander Kirillov
8237,Maxwell Collins
7143,Alan Malek
6452,David Blei
8242,Weili Lin
3823,Takafumi Kanamori
6862,Devdatt Dubhashi
8104,William Dally
7138,Niao He
8317,Alan Aspuru-Guzik
8189,Seunghoon Hong
8312,Robert Legenstein
8172,Walid Krichene
8357,Max Vladymyrov
6406,Florent Krzakala
7899,Mustafa Suleyman
8105,Kevin Ellis
3294,Ping Li
6734,Reshad Hosseini
7195,Kihyuk Sohn
8349,Kush Bhatia
3911,Julien Mairal
4601,Manik Varma
4782,Jacob D. Abernethy
8368,Benedict Leimkuhler
8424,Shimon Whiteson
5539,Dino Sejdinovic
7566,Emily L. Denton
7509,Barnabas Poczos
4280,David Silver
8062,Ryan J. Giordano
8125,Stephen Voinea
8230,S.V.N. Vishwanathan
4762,Justin Domke
6559,Matthew Johnson
5318,Jeff Beck
7127,Ilias Diakonikolas
8259,Jennifer Iglesias
8292,Peter Richtarik
5534,Joseph Wang
8178,Dzmitry Bahdanau
583,Juergen Schmidhuber
6335,Francis Bach
8315,Rafael Bombarell
8412,Jason Hartline
6995,Sushant Sachdeva
8403,R. Srikant
8118,Yu-Ying Liu
6279,Yu-Xiang Wang
8201,Navdeep Jaitly
6620,David J. Fleet
8012,Huitong Qiu
8141,Kristin Branson
8305,Will Kay
